keywords,count,relevance
New Oxygen OS Update,1,0.564229
selfie camera,1,0.554712
use battery,1,0.554504
better condition,1,0.554423
MD5,13,0.550796
OnePlus 5T,11,0.5345465
Oneplus,240,0.551167
OP5 camera issues,1,0.548058
5T releases,1,0.547072
phone calls,1,0.53742
great camera setup,1,0.53068
Best Google camera apk,1,0.530663
first OnePlus device,1,0.53033
technology rising day,1,0.528015
last year,3,0.527967
Android Pie update,2,0.527528
Root OnePlus,1,0.526941
original box,3,0.52579
Android security patch,2,0.524673
Acer XF240H,1,0.524068
last OP5/5T update thread,1,0.523699
phone,79,0.527061
extra work,1,0.522453
new phone,4,0.521692
Otterbox Achiever Case,2,0.520322
snappy response time,1,0.520288
OxygenOS Open Beta,3,0.5162055
new device,1,0.519272
Oxygen OS,3,0.518768
back of the phone,1,0.51835
Old Man Portrait,1,0.518173
OC area,1,0.517699
6GB,3,0.517066
efficient battery,1,0.517059
glass screen protector,1,0.515965
fingerprint scanner,1,0.515697
Pro Mode,1,0.515237
Oneplus' customer support chat,1,0.514869
people's thoughts,1,0.514662
battery life,5,0.514663
new phone peeling,1,0.514337
dash charge,2,0.5247575
New Retooled Kailh Box switches,1,0.513965
128gb,2,0.513537
original dash charger,1,0.513494
better camera,1,0.513418
drop-down menu,1,0.512931
Fast charging,1,0.512679
lack of 3.5mm jack,1,0.512368
bigger resolution,1,0.512292
OnePlus 5/5T,7,0.600303
black screen,1,0.588075
software updates,3,0.559732
signs of use,2,0.557413
good photos,1,0.556774
oneplus 3T,1,0.545325
Screen Recorder,1,0.538538
oneplus cables,1,0.533807
good things,1,0.531807
OP5,11,0.5240940000000001
rest of my time,1,0.530263
pleasant look,1,0.528652
open NAT type,1,0.527269
slowest way,1,0.526384
days' use,1,0.52589
Much thanks,1,0.525141
screen displays,1,0.524306
couple notification sounds,1,0.523945
newest version of Android,1,0.523512
original cable,1,0.523425
old phone,3,0.522999
Android Pie,7,0.5194185
desk charging,1,0.52174
Best Google Camera apk,1,0.520321
headphone jack,3,0.519403
good phone,1,0.519367
verizon issue,1,0.519216
Android Central,1,0.517457
Latest OxygenOS betas,1,0.517287
Frame drops,2,0.51675
flat screens,1,0.516588
GB OnePlus,3,0.515996
T-Mobile Visual Voicemail,1,0.515209
only way,1,0.515203
Battery Life,2,0.514897
back edges of the phone,2,0.514873
phone charges,1,0.514566
power button,2,0.51415
Last night,2,0.513657
USB-C port,2,0.51352
screen display,1,0.513457
screen protector,5,0.51322
OP device,1,0.512342
minor signs of wear,2,0.512276
single older thread thats,1,0.512055
Oneplus 5/5T,1,0.803687
top left of my phone,1,0.647397
google camera app,1,0.586653
endless rounds of the oneplus logo,1,0.581406
twrp mode,1,0.578708
phone of choice,1,0.568397
white boot logo of android,1,0.555597
good reviews,1,0.55228
old Moto phone,1,0.5452
OxygenOs Open Beta,2,0.543709
OnePlus 5t,2,0.542478
battery logo,1,0.54227
new rear camera,1,0.540667
blue light,1,0.538485
recent OS update,1,0.53799
Best site,1,0.536387
OnePlus,46,0.536254
use habits,1,0.534506
general bug fixes,1,0.533598
GearBest Oneplus,1,0.533101
stock camera app,1,0.531167
sure dont,1,0.530884
good camera quality,1,0.529074
fast charge,1,0.527474
state button,1,0.525635
Bluetooth connectivity,1,0.525508
Gmail notifications,2,0.525451
Hard Reset,2,0.5244
similar experiences,1,0.522018
successful install,1,0.521715
successful flash,1,0.520385
T-Mobile WiFi,1,0.518677
Resident Evil,1,0.517478
Buy Oneplus,2,0.516856
different apps,1,0.516389
app's cache,1,0.515803
Open Beta,1,0.514706
app freezes,1,0.514199
theme keeps,1,0.514
P.S,1,0.513792
stock oxygenOS,1,0.513763
good cellular reception,1,0.513571
Oneplus Refurbished Phones,2,0.513469
need of help,1,0.513168
Gmail app,1,0.513157
March 12th update,1,0.51303
normal speed,1,0.51283
